ASSIGN           = | Línea: 119 | Columna: 14 
ID               b | Línea: 119 | Columna: 17 
MAS              + | Línea: 119 | Columna: 18 
NUM_INT          1 | Línea: 119 | Columna: 21 
PUNCOM           ; | Línea: 119 | Columna: 22 
END              end | Línea: 120 | Columna: 9  
END              end | Línea: 121 | Columna: 5  
WHILE            while | Línea: 123 | Columna: 5  
ID               activo | Línea: 123 | Columna: 11 
DO               do | Línea: 124 | Columna: 9  
ID               c | Línea: 125 | Columna: 13 
ASSIGN           = | Línea: 125 | Columna: 14 
ID               c | Línea: 125 | Columna: 17 
MAS              + | Línea: 125 | Columna: 18 
NUM_INT          1 | Línea: 125 | Columna: 21 
PUNCOM           ; | Línea: 125 | Columna: 22 
WHILE            while | Línea: 126 | Columna: 9  
ID               c | Línea: 126 | Columna: 15 
LT               < | Línea: 126 | Columna: 16 
NUM_INT          3 | Línea: 126 | Columna: 19 
PUNCOM           ; | Línea: 126 | Columna: 20 
ID               activo | Línea: 127 | Columna: 9  
ASSIGN           = | Línea: 127 | Columna: 15 
FALSE            false | Línea: 127 | Columna: 18 
PUNCOM           ; | Línea: 127 | Columna: 23 
END              end | Línea: 128 | Columna: 5  
RBRACE           } | Línea: 128 | Columna: 8  
EOF -> Fin del archivo (línea 130, columna 2)
